,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021
mood ,8,7,7,7,7,6,7,8,7,7,7,7,7,8,7,7,7,7,5,6,6,,8,7,7,5,7,6,6,,,8,,6,,5,7,6,5,7,7,7,7,7,7,7,,,,,8,8,8,8,8,6,,,
migrain / headach,Yes ,No,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,,,
pain ,4,No,no,no,no,no,no,2,1,6,/,no,no,no,1,yes,,,,,,,3,,,,2,,,,,,,,,,1,7,2,,,,,,,,,,,,,,,,3,3,,,
what caused it ,,,,,,,,,,,,,,,, ,,,,,,,sugar fatigue,,,,"not enough water 
fatigue",,,,,,,,,,fatigue / règle,règle,règle,,,,,,,,,,,,,,,,lack of sleep ,,,,
symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nausea + headach +
tête qui tourne + sueur froide",headach,,,,,,,,,,,,,,,,headach + nausea,headach,,,
sleep patern, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couché,03:40,03:20,3,4,3,02:38,3,02:00,03:00,02:00,00:34,02:14,02:00,03:00,03:00,01:30,02:00,04:00,02:30,03:00,03:00,03:00,01:00,02:00,02:00,04:00,02:00,04:00,04:00,02:00,02:00,04:00,04:00,05:00,,02:00,03:00,00:45/05:00,02:00,02:00,02:00,01:30,,01:30,02:00,03:00,,,,,02:00,02:30,03:00,03:00,05:00,,04:00,,
wake up ,,12:30,12:20,13:40,12:30,13:46,12:20,09:10,11:50,10:30,11:36,10:00,09:40,14:00,09:50,09:40,14:30,13:40,14:40,09:45,14:00,09:00,09:50,14:00,14:00,14:00,14:00,09:50,14:00,09:00,14:40,11:00,14:40,13:00,,09:50,09:50,13:10,12;00,12:40,09:50,12:10,,09:50,14:30,13:30,,,,,09:00,13:10,11:30,13:50,09:00,13:30,09:55,,
weather,big blue sky,grey blue sky,blue sky ,,blue sky ,grey sky +rain,"grey+blue sky 
snow",blue sky wih cloud,blue sky ,,grey sky ,"blue sky 
with cloud",blue sky ,"blue sky 
+ cloud",,blue+sky,,blue sky ,blue ,blue,blue,blue,blue,blue,blue,blue,blue ,blue + cloud,gray sky ,blue + cloud,grey,grey,grey ,grey + rain,,,,gris,gris,gris/bleu,,gris,,gris,,gris + pluie,,,,,,,,,,,,,
temperature,26,20,15,,10,9,6,10,18-Dec,13,9,8,9,12,,8,,10,15,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,PM PaM,PM,PM,PM,PM,,PM,PM PaM,PM Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home ,Home,Home,Home + campus,Home + Holborn,Home,Home,Home,Home ,Home,Home ,Home,Home + Holborn,Home,Home,Home,,,,Home,Home,Home,Home,Home,Home,Home,Home,Home,,,,,,,,Home,,,,,
people seen,MPLSPaCD,MLSPCD,MLSPCD,same + Jade,MLSPPaCD,,MSCD LP,MLSDCPa,MLSDC INQS,,INQSZ + 2 other,INZ,Ich,S,ISC PaMS,ISC,IS,IS,S,N,INS,Kenneth,Jo + S,STZ,IN,IS,,IS,NChIS,,,J,,S,,,,,N,INS,I,,S,S,Karen + S + I,,,,,,,,,,,,,,
Movie watch / series,\,\,"Dallas Buyer club - 
la fabulous aventure de sharpay",solar opposite,,,"glee + simpson +s
crubs",,,Rupaul drag race,Rupaul drag race,"Rupaul + 
The Office",They live,"American
 Mary + Pet cemetary + Arrested development",,,"Hostel 3 + 
Crazy rich asian + Spider man : new generation","Why are you 
like this ",,,"the superstore +
 the house or the wedding",,,,,,,,,,,,,,,,,,"rupaul drag race down
 under",,,,,,,,,,,,,,,,,,,,
